,ITEM,VALOR
0,aaaaa,62
1,bbbbb,39
2,ccccc,77
3,ddddd,0
4,eeeee,75
5,fffff,17
6,ggggg,46
7,hhhhh,80
8,iiiii,49
9,jjjjj,22
10,kkkkk,70
11,lllll,18
12,mmmmm,72
13,nnnnn,8
14,ooooo,23
15,ppppp,28
16,qqqqq,35
17,rrrrr,99
18,sssss,30
19,ttttt,41
20,uuuuu,2
21,vvvvv,9
22,wwwww,60
23,xxxxx,22
24,yyyyyy,65
25,zzzzz,91
26,aaaaa,62
27,bbbbb,39
28,ccccc,77
29,ddddd,0
30,eeeee,75
31,fffff,17
32,ggggg,46
33,hhhhh,80
34,iiiii,49
35,jjjjj,22
36,kkkkk,70
37,lllll,18
38,mmmmm,72
39,nnnnn,8
40,ooooo,23
41,ppppp,28
42,qqqqq,35
43,rrrrr,99
44,sssss,30
45,ttttt,41
46,uuuuu,2
47,vvvvv,9
48,wwwww,60
49,xxxxx,22
50,yyyyyy,65
51,zzzzz,91
